breed,size,weight,height,life_span,aka,group,origin,role,facts,behavior,health_concerns,activity,grooming,pic_available,pic_name,friendly,novice,shelter_name
chihuahua,small,2 - 6 lbs,"6"" - 9""",14 - 18 years,N/A,toy,Mexico,Companion Dog,"Brought to Mexico by Spanish traders in the 14th century, the breed is thought to have come from the Techichi of the Toltec tribe.",The Chihuahua tends to be devoted to a single person and is an energetic breed.,Patellar luxation; heart problems,low,low,TRUE,chihuahua,FALSE,TRUE,chihuahua
chinook,large,65 - 90 lbs,"21"" - 26""",13 - 14 years,N/A,miscellaneous,United States,"Companion Dog, Sled Dog","Bred in the early 1900s to pull sleds, this breed is a mix of canadian eskimo, st. bernard and belgian shepherd",The Chinook is confident and hard working,Excellent health record. No known hereditary conditions.,medium,low,,,,,
chow chow,medium,45 - 75 lbs,"17"" - 20""",10 - 12 years,N/A,non-sporting,China,Companion Dog,"Dating back over 2,000 years ago, this breed was originally used for hunting and herding, as well as a food source and for its fur.",The Chow Chow tends to be independent and stubborn.,Hip dysplasia; bloat; ectropion; entropion; hypothyroidism,low,high,TRUE,chow,FALSE,FALSE,chow chow
clumber spaniel,large,55 - 85 lbs,"17"" - 20""",10 -13 years,N/A,sporting,England,"Companion Dog, Bird flushing, Retriever","Dating back to the late 18th century, this may have been a mix of Basset Hound and Alpine Spaniel. This breed was popular for flushing out birds and retrieving them.","The Clumber Spaniel is affectionate, gentle and easy-going breed.",Entropion; intervertebral disk disease,medium,high,TRUE,clumber,TRUE,TRUE,clumber spaniel
cockapoo,small,20 - 24 lbs,"14"" - 15""",13 - 15 years,"Cockerpoo, Cock-a-poo",toy,United States,Companion Dog,"This breed is a Cocker Spaniel, Poodle designer hybrid that dates back to the 1960s.",The Cockapoo is a bright and affectionate breed.,Excellent health record. No known hereditary conditions.,low,high,,,,,
cocker spaniel,small,24 - 28 lbs,"14"" - 15""",12 - 15 years,American  cocker spaniel,sporting,United States,Companion Dog,"Originated in the 19th century for hunting small game, this breed is descended from British ""cocking"" Spaniels.","The American Cocker Spaniel is gentle, playful, friendly and trainable.",Hypothyroidism; patellar luxation; autoimmune diseases; urinary tract problems; skin conditions; eye and ear problems,medium,high,,,,,
collie,medium,50 - 75 lbs,"22"" - 26""",12 - 14 years,Sctoish Collie,herding,Great Britain,Companion Dog,This herding dog was recognized as a breed in the 1800s and became popular when Queen Victoria took several as pets.,"The Collie is intelligent, sensitive and kind.",Collie eye anomoly; progressive eye atrophy,medium,high,,,,,
coton de tulear,small,12 - 15 lbs,"10"" - 12""",13 - 14 years,N/A,toy,Madagascar,Companion Dog,"Named for the Tulear region of Southern Madagascar, this Bichon-type breed dates back to the 17th century.",The Coton de Tulear is gentle and affectionate.,Excellent health record. No known hereditary conditions.,low,high,,,,,
curly coated retriever,large,70 - 80 lbs,"23"" - 27""",12 - 13 years,N/A,sporting,Great Britain,"Companion Dog, Gun Dog","The oldest of the Retrievers, this breed dates back to the early 1800s and is likely a mix of English Water Spaniel and Lesser Newfoundland.",The Curly-Coated Retriever is a calm and even-tempered breed.,Hip dysplasia; entropion,high,low,,,,,
dashsbracke,medium,33 - 40 lbs,"13"" - 16.5""",12 years,"Alpine Dachsbracke, Alpenlaendische Dachsbracke",hound,Austria,Game Tracking,"Dating back to the 1850s, this breed has a reputation as an efficient deer tracker. This breed is thought to be a mix of local hounds and the Dachshund.",,Excellent health record. No known hereditary conditions.,medium,low,,,,,
dashshund,small,"Standard (16 - 32 lbs.), Minature (9 - 11 lbs.)","Standard (9"" - 10""), Miniature (5"" - 9"")",10 - 12 years,Wiener Dog,hound,Germany,Companion Dog,"In Medieval Times this dog was used to dig up burrowing animals. Its name literally means ""badger hunter.""","The Dachshund is clever, lively and playful.",Hypothyroidism; Cushing's Disease; spinal problems related to obesity,medium,medium,TRUE,dachshund,TRUE,TRUE,dashshund
dalmatian,medium,45 - 65 lbs,"19"" - 24""",10 - 12 years,N/A,non-sporting,Croatia,Companion Dog,"This breed is thought to have been brought to England during the Crusades. Dalmatians were commonly used as coach dogs during the 19th century, especially in Great Britain.",The Dalmatian tends to be territorial and energetic. This breed loves its family.,Deafness; bladder stones; allergies,high,medium,,,,,
dandie dinmont,small,18 - 24 lbs,"8"" - 11""",14 - 15 years,N/A,terrier,Great Britain,Companion Dog,"Bred during the 17th century to hunt badgers and otters, the Dandie Dinmont was named for Sir Walter Scott's novel ""Guy Mannering.""","The Dandie Dinmont is gentle, playful and protective.",Hip dysplasia; patellar luxation; intervertebral disc protrusion; lymphoma; ear infections,medium,medium,,,,,
deerhound,large,85 - 100 lbs,"28"" - 32""",11 - 12 years,Scottish Deerhound,hound,Scotland,"Companion Dog, Hunting","Believed to be an ancient breed, the Scottish Deerhound could only be owned by nobility during the 16th century. The breed has had several bouts with near extinction, but still remains a high quality breed.","The Deerhound is an easy-going, mellow companion. The breed gets along well with children but may be wary of strangers. Although independent, the Deerhound attempts to please and can be extremely sensitive. This breed thrives on human companionship and will prefer a soft bed where it can stretch and lounge indoors.",Bloat; osteosarcoma,high,high,TRUE,deerhound/scottish,FALSE,FALSE,scottish deerhound
deutsche wachtelhund,medium,44 - 66 lbs,"16"" - 20""",12 - 14 years,N/A,sporting,Germany,"Companion Dog, Hunting","The Wachtelhund is the only remaining descendant of the Stober breed. The breed is used in Germany to hunt feathered game, as well as wild boars, foxes and hares. Bred in the 1880s as an attempt to revive the Stoberhunting breed. Wachtelhund translates into ""quail dog."" This dog is considered a rare breed.","Wachtelhunds make loving family companions that are sociable toward most people. They are good, versatile hunters.",Excellent health record. No known hereditary conditions,high,high,,,,,
dingo,small,22 - 53 lbs,"17"" - 24""",N/A,"Australian Wild Dog, Australian Native Dog, Maliki, Warrigal, Noggum, Mirigung, Boolomo",hound,Southeast Asia / Australia,Wild Dog,"The Dingo is known as a primitive breed because it is a wild dog at an early / arrested stage of domestication. It is probably a descendant of the Indian wolf (Canis lupus pallipes). A recent DNA study suggests the Dingo originated around 3000 B.C. Today Dingoes are found in Australia and Southeast Asia forests. The breed is named in the native language of the Eora Aboriginal tribe, the original inhabitants of Sydney.",,Excellent health record. No known hereditary conditions.,low,low,,,,,
doberman,large,66 - 88 lbs,"24"" - 28""",10 - 12 years,"Doberman Pinscher, Dobermann",specialty show,Germany (1800s),Companion Dog,"The Doberman originated when Louis Doberman, a German tax collector, set out to develop a watchdog to accompany him on his rounds. This breed is a cross of the German Shepherd and German Pinscher, as well as the Weimaraner, Rottweiler, Greyhound and Manchester Terrier.","The Doberman is an alert guard dog, as well as energetic, sensitive companion. These dogs respond better to praise, rather than discipline. Because Dobermans tend to be aggressive, especially with other dogs, early socialization is necessary. If raised properly, Dobermans normally get along well with children and can be extremely sweet and submissive. Avoid playing aggressive games with your Doberman and be sure to attend obedience training for the best temperament.",Be sure to obtain your Doberman from a reputable breeder to avoid aggression and health problems. Common breed-related health problems include: cardiomyopathy; cervical vertebral instability; hypothyroidism; narcolepsy; von Willebrand's disease; osteosarcoma; parvovirus; acral lick dermatitis; demodicosis,high,low,TRUE,doberman,TRUE,TRUE,doberman
dogo argentino,large,80 - 100 lbs,"24.5"" - 27""",10 - 12 years,"Argentine Dogo, Argentine Fighting Dog, Argentinean Mastiff",miscellaneous,Argentina,Companion Dog,"The Dogo Argentino was developed in the 1920s by Antonio Nores Martinez to be a gentle, loyal companion, as well as a big game hunter (jaguars, wild boars, etc.). The Cordoba Fighting Dog (now extinct), crossed with the Great Dane, Boxer, Spanish Mastiff, Pointer, Bull Terrier, and others, was the foundation for the breed.","Dogos Argentinos are a quiet, loyal, loving breed that was developed to be an aggressive hunter. These dogs will require early socialization and strict obedience training.",Hip dysplasia; deafness. Not suitable for city or apartment dwellers or inexperienced dog owners.,high,low,,,,,
dogue de bordeaux,large,80 - 100 lbs,"23"" - 27""",10 - 12 years,Bordeaux Mastiff,working,France,Companion Dog,"The Dogue De Bordeaux originated in the 1400s where it was bred and raised as an attack dog. The breed was standardized in the early 1900s. Today, the Dogue De Bordeaux is a companion breed with a calm temperament. The breed has an exceptionally large head.","The Dogue De Bordeaux is a vigilant and courageous guard dog with a deep, intimidating bark. These dogs normally become deeply attached to a favorite human. Early socialization and training is necessary to prevent any dominating or aggressive tendencies. If controlled, these dogs normally integrate well with children and other animals, including cats.",Hip dysplasia; bloat. Not suitable for inexperienced dog owners.,medium,low,,,,,
drentsche patrijschond,medium,45-70 lbs,"22"" - 25""",12 - 13 years,"Dutch Partridge Dog, Drentse Partridge Dog or Drent",pointer,Netherlands,Companion and valued gun dog,"In the 16th century the breed originated in France, Spain, and later the Netherlands. For over 300 years, the Drent was a versatile farm dog. It was equally comfortable hunting small game, playing with children or serving as a guard dog. In 1948 the Dutch Drent Breed club was founded and created three pillars for the breed: hunting, pet qualities and watch dog. Not only was the Drent expected to hunt, he was expected to warn of visitors to the farm or house, and to be a family pet.","Whether they are sitting quietly with their owners or on a long walk, Drents love to be around people. They are soft-tempered, extremely intelligent and easy to train.",Progressive Retinal Atrophy (PRA) and Hip Dysplasia,medium,medium,,,,,
drever,medium,32 - 34 lbs,"12"" - 15""",12 - 14 years,Swedish Dachsbracke,sporting,Sweden,Companion Dog,"This relative new breed originated during the 1900s in Sweden, where it was developed as a hunting dog.",,Excellent health record. No known hereditary conditions.,high,low,,,,,
dunker,medium,35 - 49 lbs,"18.5"" - 22.5""",12 years,Norwegian Hound,hound,Norway,Companion Dog,"The Dunker was developed to hunt hares by scent, rather than sight. It originated when Wilhelm Dunker bred a Russian Harlequin Hound with other scent hounds in the 1850s.","The Dunker tends to be a mellow, mild-mannered breed with exceptional stamina that makes a loving companion.",Hip dysplasia,medium,low,,,,,
dutch shepherd,large,65 - 67 lbs,"22"" - 25""",12 - 14 years,Hollandse Herdershond,herding,Netherlands,Companion Dog,"This breed originated in the Netherlands during the 1800s where it was bred to be an all-purpose farm dog. Difficulties in breeding standards has hindered its popularity. Although it is related to the Belgian Shepherd, it has more German Shepherd ancestry.",,Excellent health record. No known hereditary conditions.,low,low,,,,,
dutch waterfowl dog,small,20 - 24 lbs,"14"" - 16""",12 - 14 years,"Kooikerhondje, Dutch Decoy Spaniel",sporting,Holland,"Companion Dog, Hunting","Named for a Dutch duck hunting technique, this extremely rare breed dates back to the 1700s.","The Dutch Waterfowl Dog is an affectionate, loyal, sensitive and intelligent breed.",Cataracts; patellar luxation,high,medium,,,,,
east siberian laika,medium,40 - 50 lbs,"22"" - 25""",10 - 12 years,Vostotchno-Sibirska�a La�ka,sporting,Russia (1800s),"Companion Dog, Hunting","Descending from similar ancestors as the West Siberian Laika, this breed was first recognized in 1947.",,Excellent health record. No known hereditary conditions.,medium,low,,,,,
elkhound,medium,48 - 55 lbs,"19"" - 21""",12 - 13 years,"Norwegian Elkhound, Norsk Eglhund",hound,Norway,Companion Dog,"The Norwegian Elkhound has existed for more than 5000 years. The current breed standard was developed in the 1800s. It is the most popular of the three Scandinavian Elkhounds. These Elkhounds have been used to hunt wolves, foxes and hares, as well as elk. It is sometimes used to herd farm animals such as chickens. The breed was recognized by the AKC in the 1930s.","The Norwegian Elkhound is an athletic dog with a strong bark. This is a playful, independent breed that can be somewhat protective. Early socialization and obedience training is necessary. This is a dog known for its strong sense of adventure.",Pyotraumatic dermatitis; Fanconi syndrome; PRA; hip dysplasia,high,high,TRUE,elkhound/norwegian,TRUE,TRUE,norwegian elkhound
english bulldog,medium,40 - 55 lbs,"12"" - 16""",8 - 10 years,"British Bulldog, Bulldog",non-sporting,England,Companion Dog,"The Bulldog was originally bred for bullbaiting and dogfighting, so it was a vicious breed. However, these characteristic were eventually considered undesirable and the dogs were bred to encourage a gentle nature.","Although Bulldogs are often portrayed as aggressive animals, the breed is really patient, calm and gentle. Bulldogs are fairly sociable and interact well with children, as well as other pets (dogs and cats). Bulldogs are fairly sedentary animals that like to sleep. While the breed does not make good watchdogs, it tends to be extremely protective.","Difficult birthing; hip or elbow dysplasia; hypothyroidism; lymphoma; skin disorders; eye and heart problems; breathing problems related to deformities of the mouth, nose and throat",low,high,,,,,
english cocker spaniel,medium,26 - 34 lbs,"15"" - 17""",10 - 14 years,Cocker Spaniel,sporting,England,Companion Dog,"The Cocker Spaniel was developed in the 1800s to hunt woodcocks. Although similar to the American Cocker Spaniel, the English Cocker Spaniel is the more popular of the two breeds (outside of the U.S.).","The Cocker Spaniel is a sweet-natured, gentle, cheerful and sensitive dog that is amiable to everyone. The breed makes a good family dog because it gets along extremely well with children, especially if socialized early. Cocker Spaniels tend to perform well during obedience training, but do not make good watchdogs. Cocker Spaniels have a tendency to bark.",Progressive retinal atrophy; glaucoma; cataracts; deafness; ear infections; undescended testicles,high,high,,,,,
